Location	Coarse	Coarse.1stMention	Region	Decade	Freq	N	E
Тихий Океан	Тихий Океан	Тихий Океан	Тихий Океан	1911	1	27.0709891	133.2447087
Тихий Океан	Тихий Океан	Тихий Океан	Тихий Океан	1921	1	27.0709891	133.2447087
Чатем, Нью-Джерси. IN: США	Чатем, Нью-Джерси	Чатем, Нью-Джерси	США	1931	1	40.7397531	-74.398949
Нью-Йорк	Нью-Йорк	Нью-Йорк	США	1921	4	40.6976684	-74.2605646
Нью-Йорк	Нью-Йорк	Нью-Йорк	США	1941	1	40.6976684	-74.2605646
Кармел, штат Нью-Йорк	Кармел, штат Нью-Йорк	Кармел, штат Нью-Йорк	США	1951	1	41.385	-73.729444
Козуэй (Дорога гигантов)	Козуэй (Дорога гигантов)	Козуэй (Дорога гигантов)	Ирландия	1921	1	55.240833	-6.511667
Севилья	Севилья	Севилья	Испания	1891	7	37.383333	-5.983333
Холивуд, Северная Ирландия	Холивуд, Северная Ирландия	Холивуд, Северная Ирландия	Великобритания	1921	2	54.6246	-5.7901
Абер-Врах. Финистер	Абер-Врах. Финистер	Абер-Врах	Франция	1911	1	48.5977251	-4.5728532
Кемпер	Кемпер	Кемпер	Франция	1901	1	47.996667	-4.096389
Эдинбург	Эдинбург	Эдинбург	Великобритания	1911	6	55.95	-3.198889
Сен-Жан-де-Люз	Сен-Жан-де-Люз	Сен-Жан-де-Люз	Франция	1901	1	43.390833	-1.658333
Биарриц	Биарриц	Биарриц	Франция	1851	1	43.485604	-1.555354
Биарриц	Биарриц	Биарриц	Франция	1891	1	43.485604	-1.555354
Биарриц	Биарриц	Биарриц	Франция	1911	6	43.485604	-1.555354
Капбретон	Капбретон	Капбретон	Великобритания	1921	1	43.64305	-1.43111
Оксфорд	Оксфорд	Оксфорд	Великобритания	1891	1	51.751944	-1.257778
Лондон	Лондон	Лондон	Великобритания	1931	3	51.507222	-0.1275
Стрэнд	Стрэнд	Стрэнд	Великобритания	1911	2	51.511389	-0.118889
Амбуаз	Амбуаз	Амбуаз	Франция	1921	1	47.404167	0.98
Андорра	Андорра	Андорра	Испания	1901	1	42.558333	1.555278
Шато-де-Гресси	Шато-де-Гресси	Шато-де-Гресси	Франция	1921	1	48.966019	2.1032119
Шавиль	Шавиль	Шавиль	Франция	1921	3	48.8090676	2.173397
Медон	Медон	Медон	Франция	1901	1	48.8075	2.240278
Медон	Медон	Медон	Франция	1921	4	48.8075	2.240278
Theatre des Ambassadeures. IN: Париж	Париж	Париж	Франция	1921	1	48.833333	2.333333
Булонский лес. IN: Париж	Париж	Париж	Франция	1901	1	48.833333	2.333333
Париж	Париж	Париж	Франция	1811	1	48.833333	2.333333
Париж	Париж	Париж	Франция	1831	1	48.833333	2.333333
Париж	Париж	Париж	Франция	1871	1	48.833333	2.333333
Париж	Париж	Париж	Франция	1881	1	48.833333	2.333333
Париж	Париж	Париж	Франция	1891	2	48.833333	2.333333
Париж	Париж	Париж	Франция	1901	33	48.833333	2.333333
Париж	Париж	Париж	Франция	1911	34	48.833333	2.333333
Париж	Париж	Париж	Франция	1921	38	48.833333	2.333333
Париж	Париж	Париж	Франция	1931	6	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	1851	2	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	1901	13	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	1911	23	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	1921	44	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	1931	40	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	1941	5	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	1951	1	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	2_decades	2	48.833333	2.333333
Париж (from date)	Париж	Париж	Франция	3_decades	1	48.833333	2.333333
Париж. Тулуза	Париж. Тулуза	Париж	Франция	1901	1	48.833333	2.333333
Тье	Тье	Тье	Франция	1931	1	48.765	2.3923
Де-Панне	Де-Панне	Де-Панне	Бельгия	1921	4	51.0775	2.589722
Синт-Идесбалд	Синт-Идесбалд	Синт-Идесбалд	Бельгия	1921	5	51.107778	2.614167
Беркендаль	Беркендаль	Беркендаль	Бельгия	1901	1	50.8295872	2.6633172
Майорка. Вальдемоса	Майорка. Вальдемоса	Майорка. Вальдемоса	Испания	1901	1	39.7014	2.6717
Схевенинген	Схевенинген	Схевенинген	Нидерланды	1911	1	52.108056	4.273056
Брюссель	Брюссель	Брюссель	Бельгия	1921	2	50.846667	4.3525
Лейден	Лейден	Лейден	Нидерланды	1911	1	52.151716	4.4114582
Нордвейк	Нордвейк	Нордвейк	Нидерланды	1911	3	52.233333	4.433333
Пюже	Пюже	Пюже	Франция	1921	2	43.7698581	5.2220917
Юра	Юра	Жюра	Франция	1901	1	46.4880996	5.9443647
Ла-Фавьер	Ла-Фавьер	Ла-Фавьер	Франция	1921	1	46.751685	6.03419
Ле-Лаванду	Ле-Лаванду	Ле-Лаванду	Франция	1921	1	43.138611	6.368333
Савойя	Савойя	Савойя	Франция	1931	1	45.495584	6.383887
Лозанна	Лозанна	Лозанна	Швейцария	1871	1	46.533333	6.633333
Кап-Эстерель. Аге	Кап-Эстерель. Аге	Кап-Эстерель	Франция	1901	1	43.4252743	6.8453479
Монтанвер	Монтанвер	Монтанвер	Франция	1901	1	45.9317328	6.9152445
Грас	Грас	Грас	Франция	1921	1	43.666667	6.916667
